,term,score
0,trained,13.047189562170502
1,hoax,10.437751649736402
2,tuned,10.437751649736402
3,fine,10.437751649736402
4,pre,7.8283137373023015
5,detection,5.748872195622465
6,monolingual,5.218875824868201
7,indobert,5.218875824868201
8,bert,5.218875824868201
9,internet,5.218875824868201
10,mbert,5.218875824868201
11,original,5.218875824868201
12,news,5.218875824868201
13,corpus,5.218875824868201
14,multilingual,5.218875824868201
15,models,4.407945608651872
16,19,3.83258146374831
17,covid,3.83258146374831
18,assess,2.6094379124341005
19,hoaxes,2.6094379124341005
20,brought,2.6094379124341005
21,online,2.6094379124341005
22,best,2.6094379124341005
23,task,2.6094379124341005
24,abundant,2.6094379124341005
25,achieved,2.6094379124341005
26,nowadays,2.6094379124341005
27,transformer,2.6094379124341005
28,human,2.6094379124341005
29,transfer,2.6094379124341005
30,outperform,2.6094379124341005
31,uncased,2.6094379124341005
32,popular,2.6094379124341005
33,life,2.6094379124341005
34,larger,2.6094379124341005
35,proposed,2.6094379124341005
36,problematic,2.6094379124341005
37,pretrained,2.6094379124341005
38,versions,2.6094379124341005
39,experimental,2.6094379124341005
40,cased,2.6094379124341005
41,validity,2.6094379124341005
42,fact,2.6094379124341005
43,solve,2.6094379124341005
44,source,2.6094379124341005
45,filter,2.6094379124341005
46,articles,2.6094379124341005
47,accurate,2.203972804325936
48,important,2.203972804325936
49,effect,2.203972804325936
50,difficult,2.203972804325936
51,related,2.203972804325936
52,performance,1.916290731874155
53,classification,1.916290731874155
54,research,1.916290731874155
55,based,1.916290731874155
56,learning,1.916290731874155
57,information,1.916290731874155
58,model,1.916290731874155
59,used,1.5108256237659907
60,results,1.3566749439387324
61,indonesian,1.2231435513142097
62,predict,0.0
63,process,0.0
64,management,0.0
65,primarily,0.0
66,previous,0.0
67,margin,0.0
68,needs,0.0
69,precision,0.0
70,processing,0.0
71,master,0.0
72,practices,0.0
73,posts,0.0
74,matter,0.0
75,post,0.0
76,positive,0.0
77,posisitve,0.0
78,making,0.0
79,maintaining,0.0
80,produce,0.0
81,policy,0.0
82,reaction,0.0
83,look,0.0
84,love,0.0
85,rate,0.0
86,rapid,0.0
87,rank,0.0
88,random,0.0
89,race,0.0
90,quality,0.0
91,purpose,0.0
92,machine,0.0
93,punctuation,0.0
94,main,0.0
95,public,0.0
96,provides,0.0
97,provide,0.0
98,proved,0.0
99,measure,0.0
100,measurement,0.0
101,polarity,0.0
102,plan,0.0
103,obtain,0.0
104,moment,0.0
105,objective,0.0
106,number,0.0
107,recall,0.0
108,monica,0.0
109,normal,0.0
110,movie,0.0
111,naive,0.0
112,naïve,0.0
113,needed,0.0
114,new,0.0
115,neutral,0.0
116,neurons,0.0
117,neural,0.0
118,networks,0.0
119,network,0.0
120,obtained,0.0
121,mining,0.0
122,opinion,0.0
123,measuring,0.0
124,negative,0.0
125,person,0.0
126,perform,0.0
127,people,0.0
128,parameters,0.0
129,paper,0.0
