,term,score
0,speech,8.815891217303744
1,hate,8.815891217303744
2,embedding,7.8283137373023015
3,representation,6.611918412977808
4,recurrent,5.218875824868201
5,networks,5.218875824868201
6,contextual,5.218875824868201
7,significant,4.407945608651872
8,neural,4.407945608651872
9,use,3.83258146374831
10,public,3.0216512475319814
11,ignorance,2.6094379124341005
12,compared,2.6094379124341005
13,semantic,2.6094379124341005
14,sentence,2.6094379124341005
15,sentences,2.6094379124341005
16,predict,2.6094379124341005
17,abusive,2.6094379124341005
18,main,2.6094379124341005
19,provide,2.6094379124341005
20,causing,2.6094379124341005
21,words,2.6094379124341005
22,act,2.6094379124341005
23,boost,2.6094379124341005
24,advancement,2.6094379124341005
25,gated,2.6094379124341005
26,tone,2.6094379124341005
27,awareness,2.6094379124341005
28,different,2.6094379124341005
29,proved,2.6094379124341005
30,essential,2.6094379124341005
31,document,2.6094379124341005
32,deep,2.6094379124341005
33,margin,2.6094379124341005
34,criticism,2.6094379124341005
35,demonstrate,2.6094379124341005
36,criminal,2.6094379124341005
37,issued,2.6094379124341005
38,contains,2.6094379124341005
39,rapid,2.6094379124341005
40,crime,2.6094379124341005
41,early,2.6094379124341005
42,richer,2.6094379124341005
43,robustness,2.6094379124341005
44,contribute,2.6094379124341005
45,difference,2.6094379124341005
46,unit,2.6094379124341005
47,develops,2.6094379124341005
48,statements,2.203972804325936
49,previous,2.203972804325936
50,development,2.203972804325936
51,syntactic,2.203972804325936
52,represent,2.203972804325936
53,architecture,2.203972804325936
54,approach,2.203972804325936
55,written,2.203972804325936
56,lack,2.203972804325936
57,paper,1.916290731874155
58,word,1.916290731874155
59,model,1.916290731874155
60,performance,1.916290731874155
61,addition,1.916290731874155
62,detection,1.916290731874155
63,media,1.3566749439387324
64,social,1.2231435513142097
65,provides,0.0
66,medias,0.0
67,memory,0.0
68,mentioning,0.0
69,punctuation,0.0
70,message,0.0
71,method,0.0
72,machine,0.0
73,maintaining,0.0
74,models,0.0
75,moment,0.0
76,proposed,0.0
77,produce,0.0
78,processing,0.0
79,process,0.0
80,monica,0.0
81,mining,0.0
82,purpose,0.0
83,quality,0.0
84,matter,0.0
85,making,0.0
86,reads,0.0
87,reaction,0.0
88,rate,0.0
89,management,0.0
90,love,0.0
91,master,0.0
92,mbert,0.0
93,measuring,0.0
94,measure,0.0
95,rank,0.0
96,measurement,0.0
97,random,0.0
98,race,0.0
99,look,0.0
100,monolingual,0.0
101,problematic,0.0
102,number,0.0
103,movie,0.0
104,organization,0.0
105,parameters,0.0
106,neurons,0.0
107,recall,0.0
108,pandemic,0.0
109,outperform,0.0
110,neutral,0.0
111,original,0.0
112,new,0.0
113,ordinary,0.0
114,perform,0.0
115,opinions,0.0
116,opinion,0.0
117,news,0.0
118,normal,0.0
119,online,0.0
120,obtained,0.0
121,obtain,0.0
122,objective,0.0
123,people,0.0
124,person,0.0
125,nowadays,0.0
126,needed,0.0
127,primarily,0.0
128,naive,0.0
129,pretrained,0.0
130,naïve,0.0
131,precision,0.0
132,pre,0.0
133,practices,0.0
134,posts,0.0
135,post,0.0
136,network,0.0
137,positive,0.0
138,posisitve,0.0
139,needs,0.0
140,popular,0.0
141,policy,0.0
142,negative,0.0
143,polarity,0.0
144,plan,0.0
145,multilingual,0.0
146,research,0.0
147,reference,0.0
148,topics,0.0
149,tweets,0.0
150,tweet,0.0
151,tuned,0.0
152,trust,0.0
153,trivial,0.0
154,trigram,0.0
155,trend,0.0
156,transformer,0.0
157,transfer,0.0
158,trained,0.0
159,total,0.0
160,topic,0.0
161,relate,0.0
162,tool,0.0
163,time,0.0
164,think,0.0
165,tf,0.0
166,text,0.0
167,testing,0.0
168,tested,0.0
169,test,0.0
170,terms,0.0
171,term,0.0
172,tendency,0.0
173,twitter,0.0
174,type,0.0
175,types,0.0
176,uncased,0.0
177,writes,0.0
178,word2vec,0.0
179,widely,0.0
180,weight,0.0
181,warm,0.0
182,wabah,0.0
183,visualize,0.0
184,visualization,0.0
185,virus,0.0
186,versus,0.0
187,versions,0.0
188,value,0.0
189,validity,0.0
190,using,0.0
191,uses,0.0
192,users,0.0
193,user,0.0
194,useful,0.0
195,used,0.0
196,universities,0.0
