,term,score
0,hashtag,26.094379124341003
1,hashtags,13.047189562170502
2,network,8.815891217303744
3,covid,7.66516292749662
4,19,7.66516292749662
5,based,7.66516292749662
6,related,6.611918412977808
7,corona,5.218875824868201
8,sna,5.218875824868201
9,covid19,5.218875824868201
10,centrality,5.218875824868201
11,social,4.892574205256839
12,study,3.0216512475319814
13,used,3.0216512475319814
14,tweets,3.0216512475319814
15,media,2.713349887877465
16,techniques,2.6094379124341005
17,control,2.6094379124341005
18,searchable,2.6094379124341005
19,content,2.6094379124341005
20,connection,2.6094379124341005
21,communicate,2.6094379124341005
22,connected,2.6094379124341005
23,serves,2.6094379124341005
24,collections,2.6094379124341005
25,collected,2.6094379124341005
26,substantial,2.6094379124341005
27,bridge,2.6094379124341005
28,closely,2.6094379124341005
29,denote,2.6094379124341005
30,coronavirus,2.6094379124341005
31,hashtagging,2.6094379124341005
32,link,2.6094379124341005
33,making,2.6094379124341005
34,measurement,2.6094379124341005
35,keywords,2.6094379124341005
36,message,2.6094379124341005
37,000,2.6094379124341005
38,influential,2.6094379124341005
39,huge,2.6094379124341005
40,flow,2.6094379124341005
41,critical,2.6094379124341005
42,flexible,2.6094379124341005
43,post,2.6094379124341005
44,posts,2.6094379124341005
45,practices,2.6094379124341005
46,relationship,2.6094379124341005
47,religious,2.6094379124341005
48,analyzed,2.6094379124341005
49,representations,2.6094379124341005
50,annotations,2.6094379124341005
51,intuitive,2.6094379124341005
52,acts,2.6094379124341005
53,tool,2.6094379124341005
54,wabah,2.6094379124341005
55,visualize,2.6094379124341005
56,visualization,2.6094379124341005
57,500,2.6094379124341005
58,twitter,2.4462871026284194
59,result,2.203972804325936
60,important,2.203972804325936
61,user,2.203972804325936
62,pandemic,2.203972804325936
63,models,2.203972804325936
64,given,2.203972804325936
65,analyze,2.203972804325936
66,aimed,2.203972804325936
67,people,1.916290731874155
68,information,1.916290731874155
69,measure,1.6931471805599454
70,analysis,1.5108256237659907
71,public,1.5108256237659907
72,using,1.5108256237659907
73,indonesian,1.2231435513142097
74,outperform,0.0
75,opinions,0.0
76,polarity,0.0
77,plan,0.0
78,person,0.0
79,ordinary,0.0
80,performance,0.0
81,perform,0.0
82,value,0.0
83,policy,0.0
84,organization,0.0
85,paper,0.0
86,original,0.0
87,parameters,0.0
88,time,0.0
89,popular,0.0
90,problematic,0.0
91,purpose,0.0
92,punctuation,0.0
93,provides,0.0
94,provide,0.0
95,proved,0.0
96,proposed,0.0
97,produce,0.0
98,processing,0.0
99,process,0.0
100,primarily,0.0
101,posisitve,0.0
102,previous,0.0
103,pretrained,0.0
104,predict,0.0
105,precision,0.0
106,pre,0.0
107,uses,0.0
108,online,0.0
109,validity,0.0
110,positive,0.0
111,opinion,0.0
112,number,0.0
113,versions,0.0
114,word,0.0
115,model,0.0
116,mining,0.0
117,method,0.0
118,warm,0.0
119,weight,0.0
120,mentioning,0.0
121,memory,0.0
122,medias,0.0
123,widely,0.0
124,measuring,0.0
125,versus,0.0
126,word2vec,0.0
127,mbert,0.0
128,matter,0.0
129,master,0.0
130,margin,0.0
131,management,0.0
132,words,0.0
133,writes,0.0
134,maintaining,0.0
135,moment,0.0
136,monica,0.0
137,monolingual,0.0
138,movie,0.0
139,virus,0.0
140,obtained,0.0
141,obtain,0.0
142,objective,0.0
143,race,0.0
144,nowadays,0.0
145,normal,0.0
146,news,0.0
147,new,0.0
148,neutral,0.0
149,neurons,0.0
150,neural,0.0
151,networks,0.0
152,negative,0.0
153,needs,0.0
154,needed,0.0
155,naïve,0.0
156,naive,0.0
157,multilingual,0.0
158,quality,0.0
159,rate,0.0
160,random,0.0
161,strategy,0.0
162,statements,0.0
163,stabilization,0.0
164,spread,0.0
165,speech,0.0
166,source,0.0
167,solve,0.0
168,transfer,0.0
169,transformer,0.0
170,similarity,0.0
171,similar,0.0
172,significant,0.0
173,shows,0.0
174,showed,0.0
175,short,0.0
176,trend,0.0
177,trigram,0.0
178,trivial,0.0
179,sets,0.0
180,trust,0.0
181,tuned,0.0
182,sentistrength,0.0
183,story,0.0
184,trained,0.0
185,rank,0.0
186,strength,0.0
187,tone,0.0
188,tf,0.0
189,text,0.0
190,testing,0.0
191,tested,0.0
192,test,0.0
193,terms,0.0
194,term,0.0
195,tendency,0.0
196,technique,0.0
197,task,0.0
198,taking,0.0
199,topic,0.0
200,takes,0.0
201,syntactic,0.0
202,surprise,0.0
203,summarization,0.0
204,success,0.0
205,topics,0.0
206,total,0.0
207,student,0.0
208,sentiments,0.0
209,sentiment,0.0
210,tweet,0.0
211,sentences,0.0
212,resulting,0.0
213,resulted,0.0
214,restraining,0.0
215,research,0.0
216,reputation,0.0
217,universities,0.0
218,use,0.0
219,representation,0.0
220,represent,0.0
221,removing,0.0
222,useful,0.0
223,religion,0.0
224,users,0.0
225,relate,0.0
226,reference,0.0
227,recurrent,0.0
228,recall,0.0
229,reads,0.0
230,reaction,0.0
231,think,0.0
