,term,score
0,movie,18.266065387038704
1,00,15.656627474604603
2,opinion,8.815891217303744
3,written,6.611918412977808
4,dynamic,5.218875824868201
5,convolutional,5.218875824868201
6,76,5.218875824868201
7,measure,5.079441541679836
8,precision,5.079441541679836
9,recall,5.079441541679836
10,value,5.079441541679836
11,network,4.407945608651872
12,81,4.407945608651872
13,naive,4.407945608651872
14,neural,4.407945608651872
15,accuracy,4.070024831816197
16,method,3.83258146374831
17,bayes,3.83258146374831
18,neutral,3.83258146374831
19,negative,3.386294361119891
20,positive,3.386294361119891
21,sentiment,3.0216512475319814
22,results,2.713349887877465
23,unique,2.6094379124341005
24,provides,2.6094379124341005
25,amounted,2.6094379124341005
26,likely,2.6094379124341005
27,takes,2.6094379124341005
28,21,2.6094379124341005
29,79,2.6094379124341005
30,writes,2.6094379124341005
31,story,2.6094379124341005
32,resulting,2.6094379124341005
33,75,2.6094379124341005
34,involved,2.6094379124341005
35,tendency,2.6094379124341005
36,built,2.6094379124341005
37,look,2.6094379124341005
38,ordinary,2.6094379124341005
39,language,2.6094379124341005
40,classify,2.203972804325936
41,characteristics,2.203972804325936
42,primarily,2.203972804325936
43,80,2.203972804325936
44,accurate,2.203972804325936
45,99,2.203972804325936
46,test,2.203972804325936
47,78,2.203972804325936
48,better,2.203972804325936
49,aims,2.203972804325936
50,opinions,1.916290731874155
51,algorithm,1.916290731874155
52,people,1.916290731874155
53,analysis,1.5108256237659907
54,used,1.5108256237659907
55,study,1.5108256237659907
56,media,1.3566749439387324
57,twitter,1.2231435513142097
58,indonesian,1.2231435513142097
59,social,1.2231435513142097
60,proved,0.0
61,posisitve,0.0
62,popular,0.0
63,policy,0.0
64,rate,0.0
65,reaction,0.0
66,recurrent,0.0
67,reads,0.0
68,rank,0.0
69,polarity,0.0
70,plan,0.0
71,person,0.0
72,reference,0.0
73,performance,0.0
74,perform,0.0
75,relate,0.0
76,rapid,0.0
77,posts,0.0
78,post,0.0
79,random,0.0
80,produce,0.0
81,processing,0.0
82,process,0.0
83,provide,0.0
84,problematic,0.0
85,previous,0.0
86,public,0.0
87,punctuation,0.0
88,purpose,0.0
89,quality,0.0
90,pretrained,0.0
91,predict,0.0
92,pre,0.0
93,practices,0.0
94,race,0.0
95,proposed,0.0
96,number,0.0
97,parameters,0.0
98,paper,0.0
99,models,0.0
100,model,0.0
101,mining,0.0
102,message,0.0
103,mentioning,0.0
104,memory,0.0
105,medias,0.0
106,measuring,0.0
107,measurement,0.0
108,mbert,0.0
109,matter,0.0
110,master,0.0
111,margin,0.0
112,management,0.0
113,making,0.0
114,maintaining,0.0
115,main,0.0
116,machine,0.0
117,love,0.0
118,long,0.0
119,link,0.0
120,moment,0.0
121,monica,0.0
122,monolingual,0.0
123,relationship,0.0
124,pandemic,0.0
125,outperform,0.0
126,original,0.0
127,organization,0.0
128,001,0.0
129,online,0.0
130,obtained,0.0
131,obtain,0.0
132,objective,0.0
133,nowadays,0.0
134,08,0.0
135,normal,0.0
136,news,0.0
137,new,0.0
138,neurons,0.0
139,networks,0.0
140,needs,0.0
141,needed,0.0
142,naïve,0.0
143,multilingual,0.0
144,related,0.0
145,10,0.0
146,religion,0.0
147,type,0.0
148,tweet,0.0
149,tuned,0.0
150,trust,0.0
151,trivial,0.0
152,trigram,0.0
153,trend,0.0
154,transformer,0.0
155,transfer,0.0
156,trained,0.0
157,total,0.0
158,topics,0.0
159,topic,0.0
160,tool,0.0
161,tone,0.0
162,time,0.0
163,think,0.0
164,tf,0.0
165,text,0.0
166,testing,0.0
167,tested,0.0
168,terms,0.0
169,term,0.0
170,techniques,0.0
171,tweets,0.0
172,types,0.0
173,task,0.0
174,uncased,0.0
175,words,0.0
176,word2vec,0.0
177,word,0.0
178,widely,0.0
179,weight,0.0
180,warm,0.0
181,wabah,0.0
182,visualize,0.0
183,visualization,0.0
184,virus,0.0
185,versus,0.0
186,versions,0.0
187,validity,0.0
188,using,0.0
189,uses,0.0
190,users,0.0
191,user,0.0
192,useful,0.0
193,use,0.0
194,universities,0.0
195,unit,0.0
