,term,score
0,sarcasm,20.875503299472804
1,detection,11.49774439124493
2,sentiment,10.575779366361935
3,features,10.437751649736402
4,uses,7.66516292749662
5,analysis,7.554128118829953
6,tweet,5.748872195622465
7,feature,5.748872195622465
8,relate,5.218875824868201
9,accuracy,4.070024831816197
10,algorithm,3.83258146374831
11,extraction,3.83258146374831
12,precision,3.386294361119891
13,recall,3.386294361119891
14,conversations,2.6094379124341005
15,automatically,2.6094379124341005
16,classified,2.6094379124341005
17,forest,2.6094379124341005
18,causes,2.6094379124341005
19,boazizi,2.6094379124341005
20,determination,2.6094379124341005
21,according,2.6094379124341005
22,terms,2.6094379124341005
23,moment,2.6094379124341005
24,incorrect,2.6094379124341005
25,applied,2.6094379124341005
26,naïve,2.6094379124341005
27,improves,2.6094379124341005
28,humans,2.6094379124341005
29,needs,2.6094379124341005
30,49,2.6094379124341005
31,widely,2.6094379124341005
32,unigram,2.6094379124341005
33,punctuation,2.6094379124341005
34,expected,2.6094379124341005
35,seen,2.6094379124341005
36,medias,2.6094379124341005
37,existence,2.6094379124341005
38,evaluation,2.6094379124341005
39,consist,2.6094379124341005
40,lexical,2.6094379124341005
41,random,2.6094379124341005
42,83,2.6094379124341005
43,sets,2.6094379124341005
44,difficult,2.203972804325936
45,shows,2.203972804325936
46,contained,2.203972804325936
47,effect,2.203972804325936
48,conducted,2.203972804325936
49,analyze,2.203972804325936
50,sentiments,2.203972804325936
51,syntactic,2.203972804325936
52,80,2.203972804325936
53,91,2.203972804325936
54,improve,2.203972804325936
55,bayes,1.916290731874155
56,model,1.916290731874155
57,idf,1.916290731874155
58,tf,1.916290731874155
59,word,1.916290731874155
60,classification,1.916290731874155
61,paper,1.916290731874155
62,used,1.5108256237659907
63,tweets,1.5108256237659907
64,results,1.3566749439387324
65,twitter,1.2231435513142097
66,indonesian,1.2231435513142097
67,social,1.2231435513142097
68,predict,0.0
69,primarily,0.0
70,previous,0.0
71,pretrained,0.0
72,media,0.0
73,memory,0.0
74,rate,0.0
75,mentioning,0.0
76,quality,0.0
77,pre,0.0
78,message,0.0
79,practices,0.0
80,making,0.0
81,maintaining,0.0
82,posts,0.0
83,reaction,0.0
84,main,0.0
85,measuring,0.0
86,race,0.0
87,measurement,0.0
88,rapid,0.0
89,purpose,0.0
90,margin,0.0
91,master,0.0
92,public,0.0
93,provides,0.0
94,management,0.0
95,provide,0.0
96,proved,0.0
97,proposed,0.0
98,produce,0.0
99,matter,0.0
100,rank,0.0
101,method,0.0
102,mbert,0.0
103,measure,0.0
104,process,0.0
105,problematic,0.0
106,processing,0.0
107,network,0.0
108,mining,0.0
109,multilingual,0.0
110,online,0.0
111,obtained,0.0
112,obtain,0.0
113,objective,0.0
114,number,0.0
115,nowadays,0.0
116,normal,0.0
117,movie,0.0
118,news,0.0
119,post,0.0
120,new,0.0
121,neutral,0.0
122,naive,0.0
123,neurons,0.0
124,neural,0.0
125,networks,0.0
126,needed,0.0
127,negative,0.0
128,reads,0.0
129,opinion,0.0
130,opinions,0.0
131,ordinary,0.0
132,models,0.0
133,monica,0.0
134,posisitve,0.0
135,popular,0.0
136,policy,0.0
137,polarity,0.0
138,plan,0.0
139,person,0.0
140,monolingual,0.0
141,performance,0.0
142,perform,0.0
143,people,0.0
144,parameters,0.0
145,pandemic,0.0
146,outperform,0.0
147,original,0.0
148,organization,0.0
149,positive,0.0
150,00,0.0
151,recurrent,0.0
152,tuned,0.0
153,trivial,0.0
154,trigram,0.0
155,trend,0.0
156,transformer,0.0
157,transfer,0.0
158,trained,0.0
159,total,0.0
160,topics,0.0
161,topic,0.0
162,tool,0.0
163,tone,0.0
164,time,0.0
165,think,0.0
166,text,0.0
167,testing,0.0
168,tested,0.0
169,test,0.0
170,term,0.0
171,tendency,0.0
172,techniques,0.0
173,technique,0.0
174,task,0.0
175,taking,0.0
176,trust,0.0
177,type,0.0
178,surprise,0.0
179,types,0.0
180,writes,0.0
181,words,0.0
182,word2vec,0.0
183,weight,0.0
184,warm,0.0
185,wabah,0.0
186,visualize,0.0
187,visualization,0.0
188,virus,0.0
189,versus,0.0
190,versions,0.0
191,value,0.0
192,validity,0.0
193,using,0.0
194,users,0.0
195,user,0.0
196,useful,0.0
197,use,0.0
198,universities,0.0
199,unit,0.0
200,unique,0.0
201,understand,0.0
202,uncased,0.0
203,takes,0.0
204,summarization,0.0
205,reference,0.0
206,selebrities,0.0
207,searchable,0.0
208,score,0.0
209,sadness,0.0
210,s3,0.0
211,s2,0.0
212,rule,0.0
213,robustness,0.0
214,richer,0.0
215,love,0.0
216,resulting,0.0
217,resulted,0.0
218,result,0.0
219,restraining,0.0
220,research,0.0
221,reputation,0.0
222,representations,0.0
223,representation,0.0
224,represent,0.0
225,removing,0.0
226,religious,0.0
227,religion,0.0
228,relationship,0.0
229,related,0.0
230,second,0.0
231,selebrity,0.0
232,success,0.0
233,selection,0.0
234,substantial,0.0
235,study,0.0
236,student,0.0
237,strength,0.0
238,strategy,0.0
239,story,0.0
240,statements,0.0
241,stabilization,0.0
242,spread,0.0
243,speech,0.0
244,source,0.0
245,solve,0.0
246,sna,0.0
247,similarity,0.0
248,similar,0.0
249,significant,0.0
250,showed,0.0
251,short,0.0
252,serves,0.0
253,sentistrength,0.0
254,sentences,0.0
255,sentence,0.0
256,semantic,0.0
257,machine,0.0
258,intuitive,0.0
259,look,0.0
260,built,0.0
261,classify,0.0
262,classifier,0.0
263,citizenship,0.0
264,characteristics,0.0
265,certain,0.0
266,centrality,0.0
267,cbow,0.0
268,causing,0.0
269,cased,0.0
270,candidate,0.0
271,calculation,0.0
272,brought,0.0
273,assess,0.0
274,bridge,0.0
275,boost,0.0
276,bilstm,0.0
277,bidirectional,0.0
278,better,0.0
279,best,0.0
280,bert,0.0
281,basis,0.0
282,based,0.0
283,bag,0.0
284,awareness,0.0
285,classifying,0.0
286,closely,0.0
287,collected,0.0
288,collections,0.0
289,cosine,0.0
290,corpus,0.0
291,coronavirus,0.0
292,corona,0.0
293,convolutional,0.0
294,conversation,0.0
295,control,0.0
296,contribute,0.0
297,contrast,0.0
298,continuous,0.0
299,continuing,0.0
300,contextual,0.0
301,content,0.0
