,term,score
0,sentiment,15.108256237659907
1,summarization,13.047189562170502
2,hybrid,10.437751649736402
3,sentistrength,7.8283137373023015
4,similarity,7.8283137373023015
5,cosine,7.8283137373023015
6,weight,7.8283137373023015
7,tf,7.66516292749662
8,idf,7.66516292749662
9,score,6.611918412977808
10,using,6.043302495063963
11,tweet,5.748872195622465
12,strategy,5.218875824868201
13,strength,5.218875824868201
14,factor,5.218875824868201
15,extractive,5.218875824868201
16,obtain,5.218875824868201
17,research,3.83258146374831
18,negative,3.386294361119891
19,positive,3.386294361119891
20,tweets,3.0216512475319814
21,results,2.713349887877465
22,reaction,2.6094379124341005
23,management,2.6094379124341005
24,trend,2.6094379124341005
25,impression,2.6094379124341005
26,posisitve,2.6094379124341005
27,extracting,2.6094379124341005
28,matter,2.6094379124341005
29,additional,2.6094379124341005
30,time,2.6094379124341005
31,agnes,2.6094379124341005
32,trivial,2.6094379124341005
33,needed,2.6094379124341005
34,topics,2.6094379124341005
35,rank,2.6094379124341005
36,address,2.6094379124341005
37,andnegative,2.6094379124341005
38,showed,2.6094379124341005
39,mentioning,2.6094379124341005
40,reads,2.6094379124341005
41,feedbacks,2.6094379124341005
42,combining,2.6094379124341005
43,combination,2.6094379124341005
44,polarity,2.6094379124341005
45,issue,2.6094379124341005
46,60,2.6094379124341005
47,62,2.6094379124341005
48,perform,2.6094379124341005
49,average,2.6094379124341005
50,include,2.6094379124341005
51,consuming,2.6094379124341005
52,selebrity,2.6094379124341005
53,similar,2.6094379124341005
54,selebrities,2.6094379124341005
55,general,2.6094379124341005
56,removing,2.6094379124341005
57,monica,2.6094379124341005
58,generally,2.6094379124341005
59,classify,2.203972804325936
60,discussion,2.203972804325936
61,contained,2.203972804325936
62,better,2.203972804325936
63,given,2.203972804325936
64,extracted,2.203972804325936
65,good,2.203972804325936
66,determine,2.203972804325936
67,new,2.203972804325936
68,test,2.203972804325936
69,previous,2.203972804325936
70,aimed,2.203972804325936
71,machine,2.203972804325936
72,mining,1.916290731874155
73,addition,1.916290731874155
74,information,1.916290731874155
75,neutral,1.916290731874155
76,measure,1.6931471805599454
